timezone,temp,humidity,description
2025-02-19 05:46:39,0.76,29,clear sky
2025-02-19 05:48:06,0.76,29,clear sky
2025-02-19 05:54:23,0.76,29,clear sky
2025-02-19 06:41:08,1.76,25,clear sky
2025-02-19 06:50:28,1.76,25,clear sky
2025-02-19 06:56:33,1.76,25,clear sky
2025-02-19 07:26:46,-0.42,18,clear sky
2025-02-19 07:36:34,0.76,25,clear sky
2025-02-19 07:42:56,0.76,25,clear sky
2025-02-19 07:49:00,0.76,25,clear sky
2025-02-19 07:55:08,0.76,25,clear sky
2025-02-19 08:39:13,0.76,29,clear sky
2025-02-19 08:50:53,0.76,29,clear sky
2025-02-19 08:57:30,0.76,29,clear sky
2025-02-19 09:30:38,-1.24,29,clear sky
2025-02-19 09:41:02,-1.24,29,clear sky
2025-02-19 09:47:15,-1.24,29,clear sky
2025-02-19 09:53:54,-1.24,29,clear sky
2025-02-19 10:00:13,-1.24,29,clear sky
2025-02-19 10:38:28,-3.24,39,clear sky
2025-02-19 10:45:20,-3.24,39,clear sky
2025-02-19 10:51:45,-3.24,39,clear sky
2025-02-19 10:58:03,-3.24,39,clear sky
2025-02-19 11:23:28,-3.24,43,clear sky
2025-02-19 11:29:44,-3.24,43,clear sky
2025-02-19 11:38:47,-3.24,43,clear sky
2025-02-19 11:45:08,-3.24,43,clear sky
2025-02-19 11:51:22,-3.24,43,clear sky
2025-02-19 11:57:51,-3.24,43,clear sky
2025-02-19 13:02:47,-4.24,50,clear sky
2025-02-19 13:35:09,-5.24,50,clear sky
2025-02-19 13:42:32,-5.24,50,clear sky
2025-02-19 13:48:46,-5.24,50,clear sky
2025-02-19 13:55:03,-5.24,50,clear sky
2025-02-19 14:34:34,-5.24,54,clear sky
2025-02-19 14:44:29,-5.24,54,clear sky
2025-02-19 14:50:47,-5.24,54,clear sky
2025-02-19 14:56:54,-5.24,54,clear sky
2025-02-19 15:31:56,-6.24,58,clear sky
2025-02-19 15:41:31,-6.24,58,clear sky
2025-02-19 15:47:56,-6.24,58,clear sky
2025-02-19 15:54:37,-6.24,58,clear sky
2025-02-19 16:40:38,-6.24,58,clear sky
2025-02-19 16:51:38,-6.24,58,clear sky
2025-02-19 16:57:48,-6.24,58,clear sky
2025-02-19 17:31:11,-8.24,62,clear sky
2025-02-19 17:41:06,-8.24,62,clear sky
2025-02-19 17:47:19,-8.24,62,clear sky
2025-02-19 17:53:37,-8.24,62,clear sky
2025-02-19 17:59:47,-8.24,62,clear sky
2025-02-19 18:42:05,-8.24,67,clear sky
2025-02-19 18:50:22,-8.24,67,clear sky
2025-02-19 18:56:35,-8.24,67,clear sky
2025-02-19 19:19:23,-3.86,41,clear sky
2025-02-19 19:25:29,-9.24,73,clear sky
2025-02-19 19:36:05,-9.24,73,clear sky
2025-02-19 19:42:37,-9.24,73,clear sky
2025-02-19 19:48:58,-9.24,73,clear sky
2025-02-19 19:55:08,-9.24,73,clear sky
2025-02-19 20:31:08,-10.24,85,clear sky
2025-02-19 20:41:27,-10.24,85,clear sky
2025-02-19 20:48:11,-10.24,85,clear sky
